,100000
1038,3.1414821944177094
1039,3.1384615384615384
1040,3.139289145052834
1041,3.140115163147793
1042,3.140939597315436
1043,3.1379310344827585
1044,3.138755980861244
1045,3.139579349904398
1046,3.140401146131805
1047,3.1412213740458017
1048,3.142040038131554
1049,3.142857142857143
1050,3.1398667935299716
1051,3.140684410646388
1052,3.141500474833808
1053,3.138519924098672
1054,3.1393364928909953
1055,3.140151515151515
1056,3.1371807000946075
1057,3.1379962192816637
1058,3.138810198300283
1059,3.139622641509434
1060,3.140433553251649
1061,3.1412429378531073
1062,3.1420507996237066
1063,3.142857142857143
1064,3.1436619718309857
1065,3.144465290806754
1066,3.141518275538894
1067,3.142322097378277
1068,3.1431244153414406
1069,3.1439252336448598
1070,3.1447245564892623
1071,3.1417910447761193
1072,3.142590866728798
1073,3.1396648044692737
1074,3.1404651162790698
1075,3.141263940520446
1076,3.138347260909935
1077,3.1391465677179964
1078,3.1362372567191845
1079,3.137037037037037
1080,3.1378353376503236
1081,3.1386321626617377
1082,3.1357340720221605
1083,3.1365313653136533
1084,3.137327188940092
1085,3.138121546961326
1086,3.138914443422263
1087,3.139705882352941
1088,3.1404958677685952
1089,3.141284403669725
1090,3.138405132905591
1091,3.139194139194139
1092,3.1399817017383347
1093,3.140767824497258
1094,3.141552511415525
1095,3.1423357664233578
1096,3.1431175934366453
1097,3.143897996357013
1098,3.1446769790718836
1099,3.1454545454545455
1100,3.146230699364214
1101,3.147005444646098
1102,3.1477787851314596
1103,3.148550724637681
1104,3.1493212669683257
1105,3.146473779385172
1106,3.147244805781391
1107,3.148014440433213
1108,3.1487826871055002
1109,3.1495495495495494
1110,3.1503150315031503
1111,3.1510791366906474
1112,3.1518418688230008
1113,3.1526032315978454
1114,3.1533632286995514
1115,3.154121863799283
1116,3.15129811996419
1117,3.152057245080501
1118,3.149240393208222
1119,3.15
1120,3.1507582515611063
1121,3.1515151515151514
1122,3.1522707034728406
1123,3.1530249110320283
1124,3.1537777777777776
1125,3.1545293072824157
